amfi_code,scheme_name,Sharpe_Ratio,Sharpe_Rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.448,1.0
120843,Kotak Flexicap Fund - Regular - Growth,1.307,2.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,1.235,3.0
119551,SBI Bluechip Fund - Regular Plan - Growth,1.208,4.0
120505,ICICI Pru Midcap Fund - Regular - Growth,1.18,5.0
149323,DSP Midcap Fund - Regular - Growth,1.132,6.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.094,7.0
118632,Nippon India Large Cap Fund - Regular - Growth,1.082,8.0
101206,ABSL Frontline Equity Fund - Regular - Growth,1.027,9.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,1.027,9.0
119094,Axis Midcap Fund - Regular - Growth,0.998,10.0
119552,SBI Bluechip Fund - Direct Plan - Growth,0.953,11.0
149324,DSP Small Cap Fund - Regular - Growth,0.95,12.0
119598,SBI Small Cap Fund - Regular Plan - Growth,0.945,13.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.926,14.0
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.817,15.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.798,16.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.776,17.0
118635,Nippon India ETF Nifty 50 BeES,0.665,18.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.649,19.0
118633,Nippon India Large Cap Fund - Direct - Growth,0.645,20.0
102887,UTI Flexi Cap Fund - Regular - Growth,0.62,21.0
120507,ICICI Pru Liquid Fund - Regular - Growth,0.496,22.0
120841,Kotak Bluechip Fund - Regular - Growth,0.494,23.0
149322,DSP Top 100 Equity Fund - Regular - Growth,0.464,24.0
118634,Nippon India Small Cap Fund - Regular - Growth,0.448,25.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.301,26.0
101207,ABSL Small Cap Fund - Regular - Growth,0.163,27.0
119093,Axis Bluechip Fund - Direct - Growth,0.13,28.0
120842,Kotak Emerging Equity Fund - Regular - Growth,0.076,29.0
119092,Axis Bluechip Fund - Regular - Growth,0.031,30.0
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.057,31.0
119095,Axis Small Cap Fund - Regular - Growth,-0.076,32.0
120844,Kotak Liquid Fund - Regular - Growth,-0.089,33.0
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.202,34.0
102886,UTI Mid Cap Fund - Regular - Growth,-0.206,35.0
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.227,36.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.357,37.0
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.567,38.0
101208,ABSL Liquid Fund - Regular - Growth,-0.816,39.0
